function,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,main_table_has_usable_result,source_runs,origin_result,origin_correctness,origin_vectorized_count,origin_missed_count,origin_speedup,origin_protocol,origin_main_table_usable,origin_conclusion,strong_plain_result,strong_plain_correctness,strong_plain_vectorized_count,strong_plain_missed_count,strong_plain_speedup,strong_plain_protocol,strong_plain_main_table_usable,strong_plain_conclusion,diagnostic_only_result,diagnostic_only_correctness,diagnostic_only_vectorized_count,diagnostic_only_missed_count,diagnostic_only_speedup,diagnostic_only_protocol,diagnostic_only_main_table_usable,diagnostic_only_conclusion,case_card_only_result,case_card_only_correctness,case_card_only_vectorized_count,case_card_only_missed_count,case_card_only_speedup,case_card_only_protocol,case_card_only_main_table_usable,case_card_only_conclusion,full_method_result,full_method_correctness,full_method_vectorized_count,full_method_missed_count,full_method_speedup,full_method_protocol,full_method_main_table_usable,full_method_conclusion
s256,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,True,cgo_candidate_s258_s256_scalar_array_20260608,1.000x; v0/m2; formal; origin_not_vectorized_baseline,True,0,2,1.0,formal,True,origin_not_vectorized_baseline,1.802x; v1/m2; formal; non_vectorized_speedup,True,1,2,1.80226,formal,True,non_vectorized_speedup,NA; v0/m2; formal; correctness_failed,False,0,2,,formal,False,correctness_failed,1.797x; v1/m2; formal; non_vectorized_speedup,True,1,2,1.79706,formal,True,non_vectorized_speedup,1.857x; v1/m2; formal; non_vectorized_speedup,True,1,2,1.8574599999999999,formal,True,non_vectorized_speedup
s258,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,True,"cgo_candidate_s258_s256_scalar_array_20260608,cgo_candidate_s258_scalar_carry_repeat1_20260609",1.000x; v0/m2; formal; origin_not_vectorized_baseline,True,0,2,1.0,formal,True,origin_not_vectorized_baseline,0.997x; v0/m2; formal; non_vectorized_flat,True,0,2,0.99738,formal,True,non_vectorized_flat,4.347x; v2/m0; formal; vectorized_speedup,True,2,0,4.34684,formal,True,vectorized_speedup,4.325x; v2/m0; formal; vectorized_speedup,True,2,0,4.32452,formal,True,vectorized_speedup,4.567x; v2/m0; formal; vectorized_speedup,True,2,0,4.5675,formal,True,vectorized_speedup
