run_id,strategy,function,severity,problem_count,line_range,status,rounds,best_round,stored_correctness_overall,correctness_overall,verification_error,analysis_compilable,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_mode,benchmark_protocol,benchmark_protocol_role,benchmark_protocol_display,paper_main_table_eligible,benchmark_protocol_warning,benchmark_success,benchmark_warmup_runs,benchmark_timing_runs,benchmark_batches,original_time_ms,optimized_time_ms,speedup,speedup_median,speedup_stddev,improvement_pct,observed_outcome,performance_guard_rejected,performance_guard_reason,performance_guard_speedup,performance_guard_speedup_median,error
cgo_candidate_s1232_triangular_loop_20260611,origin,s1232,,,,origin_baseline,0,,True,True,,True,False,0,0,baseline_only,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,4263.5823457999995,4263.5823457999995,1.0,1.0,0.0,0.0,origin_not_vectorized_baseline,,,,,
cgo_candidate_s1232_triangular_loop_20260611,strong_plain,s1232,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,False,3,10,5,,,,,,,benchmark_failed,False,,,,"运行时错误: Command '['/tmp/tmp6smyhfh2', '1', '1']' timed out after 120 seconds"
cgo_candidate_s1232_triangular_loop_20260611,diagnostic_only,s1232,,,,failed,1,1,True,True,,True,False,0,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,False,3,10,5,,,,,,,benchmark_failed,False,,,,"运行时错误: Command '['/tmp/tmphqoi712m', '1', '1']' timed out after 120 seconds"
cgo_candidate_s1232_triangular_loop_20260611,case_card_only,s1232,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,5360.2698742,181.3988666,29.73894,27.9638,5.330391637394009,2873.8940000000002,vectorized_speedup,False,,,,
cgo_candidate_s1232_triangular_loop_20260611,full_method,s1232,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,False,3,10,5,,,,,,,benchmark_failed,False,,,,"运行时错误: Command '['/tmp/tmpchtoemds', '1', '1']' timed out after 120 seconds"
