run_id,source_csv,function,strategy,canonical_strategy,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,status,correctness_overall,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_protocol,benchmark_protocol_role,paper_main_table_eligible,main_table_result_usable,benchmark_success,speedup,speedup_median,observed_outcome,conclusion_type,error
cgo_repeat_s258_formal_clean_20260617,experiments/runs/cgo_repeat_s258_formal_clean_20260617/paper_results.csv,s258,origin,origin,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,origin_baseline,True,False,0,2,formal,formal_main_table,True,True,True,1.0,1.0,origin_not_vectorized_baseline,origin_not_vectorized_baseline,
cgo_repeat_s258_formal_clean_20260617,experiments/runs/cgo_repeat_s258_formal_clean_20260617/paper_results.csv,s258,strong_plain,strong_plain,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,success,True,True,1,0,formal,formal_main_table,True,True,True,5.85478,5.9102,vectorized_speedup,vectorized_speedup,
cgo_repeat_s258_formal_clean_20260617,experiments/runs/cgo_repeat_s258_formal_clean_20260617/paper_results.csv,s258,diagnostic_only,diagnostic_only,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,failed,True,False,0,2,formal,formal_main_table,True,True,True,1.45868,1.4232,non_vectorized_speedup,non_vectorized_speedup,
cgo_repeat_s258_formal_clean_20260617,experiments/runs/cgo_repeat_s258_formal_clean_20260617/paper_results.csv,s258,case_card_only,case_card_only,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,success,True,True,1,0,formal,formal_main_table,True,True,True,5.54478,5.5833,vectorized_speedup,vectorized_speedup,
cgo_repeat_s258_formal_clean_20260617,experiments/runs/cgo_repeat_s258_formal_clean_20260617/paper_results.csv,s258,full_method,full_method,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,success,True,True,1,0,formal,formal_main_table,True,True,True,5.6775400000000005,5.7038,vectorized_speedup,vectorized_speedup,
