function,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,main_table_has_usable_result,source_runs,origin_result,origin_correctness,origin_vectorized_count,origin_missed_count,origin_speedup,origin_protocol,origin_main_table_usable,origin_conclusion,strong_plain_result,strong_plain_correctness,strong_plain_vectorized_count,strong_plain_missed_count,strong_plain_speedup,strong_plain_protocol,strong_plain_main_table_usable,strong_plain_conclusion,diagnostic_only_result,diagnostic_only_correctness,diagnostic_only_vectorized_count,diagnostic_only_missed_count,diagnostic_only_speedup,diagnostic_only_protocol,diagnostic_only_main_table_usable,diagnostic_only_conclusion,case_card_only_result,case_card_only_correctness,case_card_only_vectorized_count,case_card_only_missed_count,case_card_only_speedup,case_card_only_protocol,case_card_only_main_table_usable,case_card_only_conclusion,full_method_result,full_method_correctness,full_method_vectorized_count,full_method_missed_count,full_method_speedup,full_method_protocol,full_method_main_table_usable,full_method_conclusion
s115,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,medium,1,False,"cgo_method_matrix_timeout_candidates_20260604,cgo_strong_plain_timeout_candidates_20260604",-,,,,,,,,0.646x; v0/m2; timeout_limited; protocol_limited_or_nonformal,True,0,2,0.6461666666666667,timeout_limited,False,protocol_limited_or_nonformal,4.153x; v1/m0; timeout_limited; protocol_limited_or_nonformal,True,1,0,4.1533,timeout_limited,False,protocol_limited_or_nonformal,4.018x; v1/m0; timeout_limited; protocol_limited_or_nonformal,True,1,0,4.0177,timeout_limited,False,protocol_limited_or_nonformal,4.105x; v1/m0; timeout_limited; protocol_limited_or_nonformal,True,1,0,4.1051,timeout_limited,False,protocol_limited_or_nonformal
s235,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,medium,1,False,"cgo_method_matrix_timeout_candidates_20260604,cgo_strong_plain_timeout_candidates_20260604",-,,,,,,,,NA; v0/m2; timeout_limited; correctness_failed,False,0,2,,timeout_limited,False,correctness_failed,1.042x; v1/m2; timeout_limited; protocol_limited_or_nonformal,True,1,2,1.0423666666666667,timeout_limited,False,protocol_limited_or_nonformal,21.561x; v2/m0; timeout_limited; protocol_limited_or_nonformal,True,2,0,21.560966666666666,timeout_limited,False,protocol_limited_or_nonformal,24.528x; v2/m0; timeout_limited; protocol_limited_or_nonformal,True,2,0,24.5279,timeout_limited,False,protocol_limited_or_nonformal
