function,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,main_table_has_usable_result,source_runs,origin_result,origin_correctness,origin_vectorized_count,origin_missed_count,origin_speedup,origin_protocol,origin_main_table_usable,origin_conclusion,strong_plain_result,strong_plain_correctness,strong_plain_vectorized_count,strong_plain_missed_count,strong_plain_speedup,strong_plain_protocol,strong_plain_main_table_usable,strong_plain_conclusion,diagnostic_only_result,diagnostic_only_correctness,diagnostic_only_vectorized_count,diagnostic_only_missed_count,diagnostic_only_speedup,diagnostic_only_protocol,diagnostic_only_main_table_usable,diagnostic_only_conclusion,case_card_only_result,case_card_only_correctness,case_card_only_vectorized_count,case_card_only_missed_count,case_card_only_speedup,case_card_only_protocol,case_card_only_main_table_usable,case_card_only_conclusion,full_method_result,full_method_correctness,full_method_vectorized_count,full_method_missed_count,full_method_speedup,full_method_protocol,full_method_main_table_usable,full_method_conclusion
s253,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,True,cgo_candidate_scalar_carry_s253_s254_s255_20260609,1.000x; v0/m0; formal; origin_not_vectorized_baseline,True,0,0,1.0,formal,True,origin_not_vectorized_baseline,1.145x; v0/m0; formal; non_vectorized_speedup,True,0,0,1.1445400000000001,formal,True,non_vectorized_speedup,1.010x; v0/m0; formal; non_vectorized_flat,True,0,0,1.00968,formal,True,non_vectorized_flat,1.171x; v0/m0; formal; non_vectorized_speedup,True,0,0,1.1714,formal,True,non_vectorized_speedup,1.232x; v1/m0; formal; vectorized_speedup,True,1,0,1.2324,formal,True,vectorized_speedup
s254,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,True,cgo_candidate_scalar_carry_s253_s254_s255_20260609,1.000x; v1/m0; formal; origin_vectorized_baseline,True,1,0,1.0,formal,True,origin_vectorized_baseline,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped
s255,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,True,cgo_candidate_scalar_carry_s253_s254_s255_20260609,1.000x; v1/m0; formal; origin_vectorized_baseline,True,1,0,1.0,formal,True,origin_vectorized_baseline,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped,1.000x; v1/m0; formal; already_vectorized_skipped,True,1,0,1.0,formal,True,already_vectorized_skipped
