run_id,source_csv,function,strategy,canonical_strategy,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,status,correctness_overall,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_protocol,benchmark_protocol_role,paper_main_table_eligible,main_table_result_usable,benchmark_success,speedup,speedup_median,observed_outcome,conclusion_type,error
cgo_candidate_s1232_triangular_loop_20260611,experiments/runs/cgo_candidate_s1232_triangular_loop_20260611/paper_results.csv,s1232,origin,origin,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,origin_baseline,True,False,0,0,formal,formal_main_table,True,True,True,1.0,1.0,origin_not_vectorized_baseline,origin_not_vectorized_baseline,
cgo_candidate_s1232_triangular_loop_20260611,experiments/runs/cgo_candidate_s1232_triangular_loop_20260611/paper_results.csv,s1232,strong_plain,strong_plain,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,False,False,,,benchmark_failed,benchmark_failed,"运行时错误: Command '['/tmp/tmp6smyhfh2', '1', '1']' timed out after 120 seconds"
cgo_candidate_s1232_triangular_loop_20260611,experiments/runs/cgo_candidate_s1232_triangular_loop_20260611/paper_results.csv,s1232,diagnostic_only,diagnostic_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,failed,True,False,0,0,formal,formal_main_table,True,False,False,,,benchmark_failed,benchmark_failed,"运行时错误: Command '['/tmp/tmphqoi712m', '1', '1']' timed out after 120 seconds"
cgo_candidate_s1232_triangular_loop_20260611,experiments/runs/cgo_candidate_s1232_triangular_loop_20260611/paper_results.csv,s1232,case_card_only,case_card_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,29.73894,27.9638,vectorized_speedup,vectorized_speedup,
cgo_candidate_s1232_triangular_loop_20260611,experiments/runs/cgo_candidate_s1232_triangular_loop_20260611/paper_results.csv,s1232,full_method,full_method,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,False,False,,,benchmark_failed,benchmark_failed,"运行时错误: Command '['/tmp/tmpchtoemds', '1', '1']' timed out after 120 seconds"
