run_id,strategy,function,severity,problem_count,line_range,status,rounds,best_round,stored_correctness_overall,correctness_overall,verification_error,analysis_compilable,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_mode,benchmark_protocol,benchmark_protocol_role,benchmark_protocol_display,paper_main_table_eligible,benchmark_protocol_warning,benchmark_success,benchmark_warmup_runs,benchmark_timing_runs,benchmark_batches,original_time_ms,optimized_time_ms,speedup,speedup_median,speedup_stddev,improvement_pct,observed_outcome,performance_guard_rejected,performance_guard_reason,performance_guard_speedup,performance_guard_speedup_median,error
cgo_strong_plain_key_cases_20260603,strong_plain,s278,,,,failed,1,1,True,True,,True,False,0,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,2003.9611486000001,2003.3644762,1.0003,1.0017,0.005528562200066146,0.03000000000000001,non_vectorized_flat,False,,,,
cgo_strong_plain_key_cases_20260603,strong_plain,s231,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,False,3,10,5,,,,,,,benchmark_failed,False,,,,"运行时错误: Command '['/tmp/tmpxh_dj720', '1', '1']' timed out after 120 seconds"
cgo_strong_plain_key_cases_20260603,strong_plain,s275,,,,failed,1,1,True,True,,True,False,0,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,962.0427446,159.850203,6.04198,5.9477,0.24710387896591174,504.19800000000004,non_vectorized_speedup,False,,,,
cgo_strong_plain_key_cases_20260603,strong_plain,s1244,,,,success,1,1,True,True,,True,True,2,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1851.778698,685.9053696,2.6997,2.7245,0.04486474116720162,169.97,vectorized_speedup,False,,,,
cgo_strong_plain_key_cases_20260603,strong_plain,s293,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1943.6436454,810.5326054,2.4026,2.4018,0.197102536767034,140.26,vectorized_speedup,False,,,,
