function,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,main_table_has_usable_result,source_runs,origin_result,origin_correctness,origin_vectorized_count,origin_missed_count,origin_speedup,origin_protocol,origin_main_table_usable,origin_conclusion,strong_plain_result,strong_plain_correctness,strong_plain_vectorized_count,strong_plain_missed_count,strong_plain_speedup,strong_plain_protocol,strong_plain_main_table_usable,strong_plain_conclusion,diagnostic_only_result,diagnostic_only_correctness,diagnostic_only_vectorized_count,diagnostic_only_missed_count,diagnostic_only_speedup,diagnostic_only_protocol,diagnostic_only_main_table_usable,diagnostic_only_conclusion,case_card_only_result,case_card_only_correctness,case_card_only_vectorized_count,case_card_only_missed_count,case_card_only_speedup,case_card_only_protocol,case_card_only_main_table_usable,case_card_only_conclusion,full_method_result,full_method_correctness,full_method_vectorized_count,full_method_missed_count,full_method_speedup,full_method_protocol,full_method_main_table_usable,full_method_conclusion
s442,control_flow,control flow / predication candidate,control_flow,,,True,oracle_batch7_distribution_control_20260529,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,2.782x; v0/m2; formal; non_vectorized_speedup,True,0,2,2.78158,formal,True,non_vectorized_speedup
s114,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,,,True,oracle_batch1_core_20260522,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,1.002x; v0/m3; formal; non_vectorized_flat,True,0,3,1.0023,formal,True,non_vectorized_flat
s115,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,medium,1,True,"cgo_strong_plain_timeout_candidates_20260604,oracle_batch1_core_20260522,oracle_s115_plain_baseline_20260522,oracle_s115_repeat1_20260526",-,,,,,,,,0.646x; v0/m2; timeout_limited; protocol_limited_or_nonformal,True,0,2,0.6461666666666667,timeout_limited,False,protocol_limited_or_nonformal,NA; v0/m2; formal; benchmark_failed,True,0,2,,formal,False,benchmark_failed,-,,,,,,,,4.045x; v1/m0; formal; vectorized_speedup,True,1,0,4.04496,formal,True,vectorized_speedup
s221,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,True,oracle_batch1_core_20260522,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,1.007x; v0/m3; formal; non_vectorized_flat,True,0,3,1.007,formal,True,non_vectorized_flat
s222,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,True,oracle_batch1_core_20260522,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,0.885x; v1/m2; formal; non_vectorized_slowdown,True,1,2,0.88462,formal,True,non_vectorized_slowdown
s233,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,False,oracle_batch7_distribution_control_20260529,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,NA; v1/m2; formal; correctness_failed,False,1,2,,formal,False,correctness_failed
s235,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,medium,1,False,"cgo_strong_plain_timeout_candidates_20260604,oracle_batch7_distribution_control_20260529,oracle_s235_distribution_interchange_plain_20260529",-,,,,,,,,NA; v0/m2; timeout_limited; correctness_failed,False,0,2,,timeout_limited,False,correctness_failed,1.000x; v0/m2; screening; protocol_limited_or_nonformal,True,0,2,1.0,screening,False,protocol_limited_or_nonformal,-,,,,,,,,NA; v2/m0; formal; correctness_failed,False,2,0,,formal,False,correctness_failed
