run_id,source_csv,function,strategy,canonical_strategy,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,status,correctness_overall,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_protocol,benchmark_protocol_role,paper_main_table_eligible,main_table_result_usable,benchmark_success,speedup,speedup_median,observed_outcome,conclusion_type,error
cgo_candidate_s2710_control_flow_repeat1_20260611,experiments/runs/cgo_candidate_s2710_control_flow_repeat1_20260611/paper_results.csv,s2710,origin,origin,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,origin_baseline,True,False,0,0,formal,formal_main_table,True,True,True,1.0,1.0,origin_not_vectorized_baseline,origin_not_vectorized_baseline,
cgo_candidate_s2710_control_flow_repeat1_20260611,experiments/runs/cgo_candidate_s2710_control_flow_repeat1_20260611/paper_results.csv,s2710,strong_plain,strong_plain,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.7281199999999999,1.7502,vectorized_speedup,vectorized_speedup,
cgo_candidate_s2710_control_flow_repeat1_20260611,experiments/runs/cgo_candidate_s2710_control_flow_repeat1_20260611/paper_results.csv,s2710,diagnostic_only,diagnostic_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,0.40386,0.3951,vectorized_slowdown,vectorized_slowdown,
cgo_candidate_s2710_control_flow_repeat1_20260611,experiments/runs/cgo_candidate_s2710_control_flow_repeat1_20260611/paper_results.csv,s2710,case_card_only,case_card_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.13818,1.1285,vectorized_speedup,vectorized_speedup,
cgo_candidate_s2710_control_flow_repeat1_20260611,experiments/runs/cgo_candidate_s2710_control_flow_repeat1_20260611/paper_results.csv,s2710,full_method,full_method,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.65458,1.6718,vectorized_speedup,vectorized_speedup,
