run_id,strategy,function,severity,problem_count,line_range,status,rounds,best_round,stored_correctness_overall,correctness_overall,verification_error,analysis_compilable,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_mode,benchmark_protocol,benchmark_protocol_role,benchmark_protocol_display,paper_main_table_eligible,benchmark_protocol_warning,benchmark_success,benchmark_warmup_runs,benchmark_timing_runs,benchmark_batches,original_time_ms,optimized_time_ms,speedup,speedup_median,speedup_stddev,improvement_pct,observed_outcome,performance_guard_rejected,performance_guard_reason,performance_guard_speedup,performance_guard_speedup_median,error
cgo_candidate_s277_guard_goto_20260604,strong_plain,s277,medium,2,"[1844, 1875]",failed,1,1,True,True,,True,False,0,3,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1108.0449208,1106.3228422,1.00156,1.0004,0.0036011109396962638,0.156,non_vectorized_flat,False,,,,
cgo_candidate_s277_guard_goto_20260604,diagnostic_only,s277,medium,2,"[1844, 1875]",failed,1,1,True,True,,True,False,0,3,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1139.1693804,1142.3216762,0.99718,0.9969,0.01621826131248351,-0.28200000000000003,non_vectorized_flat,False,,,,
cgo_candidate_s277_guard_goto_20260604,case_card_only,s277,medium,2,"[1844, 1875]",failed,1,1,True,True,,True,False,0,3,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1156.7367942,1180.7018988,0.98224,0.9976,0.05598877566084117,-1.7760000000000002,non_vectorized_flat,False,,,,
cgo_candidate_s277_guard_goto_20260604,full_method,s277,medium,2,"[1844, 1875]",failed,3,2,True,True,,True,False,1,3,performance_guard_rejected,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,False,3,10,5,,,,,,,performance_guard_rejected,True,"轻量 benchmark 显示明显负优化： median=0.563x, mean=0.563x， 低于守护阈值 median<0.80x 且 mean<0.80x",0.5626,0.5626,"轻量 benchmark 显示明显负优化： median=0.563x, mean=0.563x， 低于守护阈值 median<0.80x 且 mean<0.80x"
