run_id,strategy,function,severity,problem_count,line_range,status,rounds,best_round,stored_correctness_overall,correctness_overall,verification_error,analysis_compilable,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_mode,benchmark_protocol,benchmark_protocol_role,benchmark_protocol_display,paper_main_table_eligible,benchmark_protocol_warning,benchmark_success,benchmark_warmup_runs,benchmark_timing_runs,benchmark_batches,original_time_ms,optimized_time_ms,speedup,speedup_median,speedup_stddev,improvement_pct,observed_outcome,performance_guard_rejected,performance_guard_reason,performance_guard_speedup,performance_guard_speedup_median,error
cgo_candidate_s279_complex_control_flow_20260609,origin,s279,,,,origin_baseline,0,,True,True,,True,False,0,0,baseline_only,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1542.5115632,1542.5115632,1.0,1.0,0.0,0.0,origin_not_vectorized_baseline,,,,,
cgo_candidate_s279_complex_control_flow_20260609,strong_plain,s279,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1711.6560158,1584.172307,1.08602,0.9944,0.2795112913640521,8.602,vectorized_speedup,False,,,,
cgo_candidate_s279_complex_control_flow_20260609,diagnostic_only,s279,,,,failed,1,1,True,True,,True,False,0,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1521.6358306,1410.9865456,1.07942,1.0394,0.10086568792210757,7.942,non_vectorized_speedup,False,,,,
cgo_candidate_s279_complex_control_flow_20260609,case_card_only,s279,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1263.3221158000001,1068.6823062,1.1875200000000001,1.1474,0.1987735570944989,18.752,vectorized_speedup,False,,,,
cgo_candidate_s279_complex_control_flow_20260609,full_method,s279,,,,success,1,1,True,True,,True,True,1,0,optimized_vs_original,formal,formal_main_table,"formal(warmup=3,timing=10,batches=5)",True,,True,3,10,5,1569.7703096,1012.4372198,1.55646,1.5354,0.23546847559705314,55.646,vectorized_speedup,False,,,,
